alpha_d,width_scale,seed,iou
0.03,1,0,0.0
0.03,1,1,0.0
0.03,1,2,0.0
0.03,1,3,0.0
0.03,1,4,0.0
0.03,1,5,0.0
0.03,1,6,0.0
0.03,1,7,0.0
0.03,1,8,0.0
0.03,1,9,0.0
0.03,2,0,0.0
0.03,2,1,0.0
0.03,2,2,0.0
0.03,2,3,0.0
0.03,2,4,0.0
0.03,2,5,0.0
0.03,2,6,0.0
0.03,2,7,0.0
0.03,2,8,0.0
0.03,2,9,0.0
0.03,3,0,0.0
0.03,3,1,0.0
0.03,3,2,0.0
0.03,3,3,0.0
0.03,3,4,0.0
0.03,3,5,0.0
0.03,3,6,0.0
0.03,3,7,0.0
0.03,3,8,0.0
0.03,3,9,0.0
0.03,4,0,0.0
0.03,4,1,0.0
0.03,4,2,0.0
0.03,4,3,0.0
0.03,4,4,0.0
0.03,4,5,0.0
0.03,4,6,0.0
0.03,4,7,0.0
0.03,4,8,0.0
0.03,4,9,0.0
0.03,6,0,0.0
0.03,6,1,0.0
0.03,6,2,0.0
0.03,6,3,0.0
0.03,6,4,0.0
0.03,6,5,0.0
0.03,6,6,0.0
0.03,6,7,0.0
0.03,6,8,0.0
0.03,6,9,0.0
0.05,1,0,0.0
0.05,1,1,0.0
0.05,1,2,0.0
0.05,1,3,0.0
0.05,1,4,0.0
0.05,1,5,0.0
0.05,1,6,0.0
0.05,1,7,0.0
0.05,1,8,0.0
0.05,1,9,0.0
0.05,2,0,0.0
0.05,2,1,0.0
0.05,2,2,0.0
0.05,2,3,0.0
0.05,2,4,0.0
0.05,2,5,0.0
0.05,2,6,0.0
0.05,2,7,0.0
0.05,2,8,0.0
0.05,2,9,0.0
0.05,3,0,0.0
0.05,3,1,0.0
0.05,3,2,0.0
0.05,3,3,0.0
0.05,3,4,0.0
0.05,3,5,0.0
0.05,3,6,0.0
0.05,3,7,0.0
0.05,3,8,0.0
0.05,3,9,0.0
0.05,4,0,0.0
0.05,4,1,0.0
0.05,4,2,0.0
0.05,4,3,0.0
0.05,4,4,0.0
0.05,4,5,0.0
0.05,4,6,0.0
0.05,4,7,0.0
0.05,4,8,0.0
0.05,4,9,0.0
0.05,6,0,0.0
0.05,6,1,0.0
0.05,6,2,0.0
0.05,6,3,0.0
0.05,6,4,0.0
0.05,6,5,0.0
0.05,6,6,0.0
0.05,6,7,0.0
0.05,6,8,0.0
0.05,6,9,0.0
0.08,1,0,0.0
0.08,1,1,0.0
0.08,1,2,0.0
0.08,1,3,0.0
0.08,1,4,0.0
0.08,1,5,0.0
0.08,1,6,0.0
0.08,1,7,0.0
0.08,1,8,0.0
0.08,1,9,0.0
0.08,2,0,0.0
0.08,2,1,0.0
0.08,2,2,0.0
0.08,2,3,0.0
0.08,2,4,0.0
0.08,2,5,0.0
0.08,2,6,0.0
0.08,2,7,0.0
0.08,2,8,0.0
0.08,2,9,0.0
0.08,3,0,0.0
0.08,3,1,0.0
0.08,3,2,0.0
0.08,3,3,0.0
0.08,3,4,0.0
0.08,3,5,0.0
0.08,3,6,0.0
0.08,3,7,0.0
0.08,3,8,0.0
0.08,3,9,0.0
0.08,4,0,0.0
0.08,4,1,0.0
0.08,4,2,0.0
0.08,4,3,0.0
0.08,4,4,0.0
0.08,4,5,0.0
0.08,4,6,0.0
0.08,4,7,0.0
0.08,4,8,0.0
0.08,4,9,0.0
0.08,6,0,0.0
0.08,6,1,0.0
0.08,6,2,0.0
0.08,6,3,0.0
0.08,6,4,0.0
0.08,6,5,0.0
0.08,6,6,0.0
0.08,6,7,0.0
0.08,6,8,0.0
0.08,6,9,0.0
0.12,1,0,0.0
0.12,1,1,0.0
0.12,1,2,0.0
0.12,1,3,0.0
0.12,1,4,0.0
0.12,1,5,0.0
0.12,1,6,0.0
0.12,1,7,0.0
0.12,1,8,0.0
0.12,1,9,0.0
0.12,2,0,0.0
0.12,2,1,0.0
0.12,2,2,0.0
0.12,2,3,0.0
0.12,2,4,0.0
0.12,2,5,0.0
0.12,2,6,0.0
0.12,2,7,0.0
0.12,2,8,0.0
0.12,2,9,0.0
0.12,3,0,0.4933920704845815
0.12,3,1,0.506578947368421
0.12,3,2,0.4977973568281938
0.12,3,3,0.4901098901098901
0.12,3,4,0.486784140969163
0.12,3,5,0.47149122807017546
0.12,3,6,0.5010989010989011
0.12,3,7,0.49452954048140046
0.12,3,8,0.4747252747252747
0.12,3,9,0.4989010989010989
0.12,4,0,0.5577395577395577
0.12,4,1,0.5712530712530712
0.12,4,2,0.5614250614250614
0.12,4,3,0.558968058968059
0.12,4,4,0.5368550368550369
0.12,4,5,0.5786240786240786
0.12,4,6,0.5687960687960688
0.12,4,7,0.5651105651105651
0.12,4,8,0.5638820638820639
0.12,4,9,0.585995085995086
0.12,6,0,0.6374172185430463
0.12,6,1,0.6479028697571744
0.12,6,2,0.6249310535024821
0.12,6,3,0.6368653421633554
0.12,6,4,0.6379690949227373
0.12,6,5,0.6285871964679912
0.12,6,6,0.6269315673289183
0.12,6,7,0.6434878587196468
0.12,6,8,0.6296909492273731
0.12,6,9,0.6385209713024282
0.18,1,0,0.0
0.18,1,1,0.0
0.18,1,2,0.0
0.18,1,3,0.0
0.18,1,4,0.0
0.18,1,5,0.0
0.18,1,6,0.0
0.18,1,7,0.0
0.18,1,8,0.0
0.18,1,9,0.0
0.18,2,0,0.0
0.18,2,1,0.0
0.18,2,2,0.0
0.18,2,3,0.0
0.18,2,4,0.0
0.18,2,5,0.0
0.18,2,6,0.0
0.18,2,7,0.0
0.18,2,8,0.0
0.18,2,9,0.0
0.18,3,0,0.5
0.18,3,1,0.4890756302521008
0.18,3,2,0.5016949152542373
0.18,3,3,0.49747899159663866
0.18,3,4,0.4983164983164983
0.18,3,5,0.49745331069609505
0.18,3,6,0.49581239530988275
0.18,3,7,0.4991568296795953
0.18,3,8,0.4966442953020134
0.18,3,9,0.4983164983164983
0.18,4,0,0.6782077393075356
0.18,4,1,0.6802860061287027
0.18,4,2,0.6902564102564103
0.18,4,3,0.6754563894523327
0.18,4,4,0.6927835051546392
0.18,4,5,0.676829268292683
0.18,4,6,0.6782077393075356
0.18,4,7,0.6874361593462717
0.18,4,8,0.6854508196721312
0.18,4,9,0.6775178026449644
0.18,6,0,0.8366311516996449
0.18,6,1,0.8378104409528636
0.18,6,2,0.849308047155305
0.18,6,3,0.8388241256969082
0.18,6,4,0.8344337227018791
0.18,6,5,0.838840874428063
0.18,6,6,0.8423194303153612
0.18,6,7,0.8393309680689306
0.18,6,8,0.8401430030643514
0.18,6,9,0.8419173890872004
