alpha_e,noise_std,seed,iou
0.08,2.0,0,0.0
0.08,2.0,1,0.0
0.08,2.0,2,0.0
0.08,2.0,3,0.0
0.08,2.0,4,0.0
0.08,2.0,5,0.0
0.08,2.0,6,0.0
0.08,2.0,7,0.0
0.08,2.0,8,0.0
0.08,2.0,9,0.0
0.08,10.0,0,0.0
0.08,10.0,1,0.0
0.08,10.0,2,0.0
0.08,10.0,3,0.0
0.08,10.0,4,0.0
0.08,10.0,5,0.0
0.08,10.0,6,0.0
0.08,10.0,7,0.012361111111111111
0.08,10.0,8,0.0
0.08,10.0,9,0.0
0.08,20.0,0,0.0
0.08,20.0,1,0.0
0.08,20.0,2,0.0
0.08,20.0,3,0.0
0.08,20.0,4,0.0
0.08,20.0,5,0.0
0.08,20.0,6,0.0
0.08,20.0,7,0.006111111111111111
0.08,20.0,8,0.0
0.08,20.0,9,0.0
0.08,30.0,0,0.0
0.08,30.0,1,0.0
0.08,30.0,2,0.0
0.08,30.0,3,0.0
0.08,30.0,4,0.0
0.08,30.0,5,0.0
0.08,30.0,6,0.0
0.08,30.0,7,0.0
0.08,30.0,8,0.0
0.08,30.0,9,0.0
0.11,2.0,0,1.0
0.11,2.0,1,1.0
0.11,2.0,2,1.0
0.11,2.0,3,1.0
0.11,2.0,4,1.0
0.11,2.0,5,1.0
0.11,2.0,6,1.0
0.11,2.0,7,1.0
0.11,2.0,8,1.0
0.11,2.0,9,1.0
0.11,10.0,0,0.24847222222222223
0.11,10.0,1,0.10138888888888889
0.11,10.0,2,0.15138888888888888
0.11,10.0,3,0.006388888888888889
0.11,10.0,4,0.06138888888888889
0.11,10.0,5,0.026805555555555555
0.11,10.0,6,0.014444444444444444
0.11,10.0,7,0.09944444444444445
0.11,10.0,8,0.07291666666666667
0.11,10.0,9,0.020833333333333332
0.11,20.0,0,0.0
0.11,20.0,1,0.0006944444444444445
0.11,20.0,2,0.007638888888888889
0.11,20.0,3,0.0
0.11,20.0,4,0.0
0.11,20.0,5,0.0
0.11,20.0,6,0.008611111111111111
0.11,20.0,7,0.01986111111111111
0.11,20.0,8,0.0
0.11,20.0,9,0.0
0.11,30.0,0,0.0
0.11,30.0,1,0.0
0.11,30.0,2,0.0
0.11,30.0,3,0.0
0.11,30.0,4,0.0
0.11,30.0,5,0.0
0.11,30.0,6,0.0
0.11,30.0,7,0.01361111111111111
0.11,30.0,8,0.0
0.11,30.0,9,0.0
0.15,2.0,0,1.0
0.15,2.0,1,1.0
0.15,2.0,2,1.0
0.15,2.0,3,1.0
0.15,2.0,4,1.0
0.15,2.0,5,1.0
0.15,2.0,6,1.0
0.15,2.0,7,1.0
0.15,2.0,8,1.0
0.15,2.0,9,1.0
0.15,10.0,0,1.0
0.15,10.0,1,1.0
0.15,10.0,2,1.0
0.15,10.0,3,1.0
0.15,10.0,4,0.9830555555555556
0.15,10.0,5,1.0
0.15,10.0,6,1.0
0.15,10.0,7,1.0
0.15,10.0,8,1.0
0.15,10.0,9,0.9988888888888889
0.15,20.0,0,0.6665277777777778
0.15,20.0,1,0.29638888888888887
0.15,20.0,2,0.27569444444444446
0.15,20.0,3,0.29597222222222225
0.15,20.0,4,0.14569444444444443
0.15,20.0,5,0.28
0.15,20.0,6,0.27402777777777776
0.15,20.0,7,0.2916666666666667
0.15,20.0,8,0.4951388888888889
0.15,20.0,9,0.30666666666666664
0.15,30.0,0,0.03013888888888889
0.15,30.0,1,0.02263888888888889
0.15,30.0,2,0.09430555555555556
0.15,30.0,3,0.0015277777777777779
0.15,30.0,4,0.025
0.15,30.0,5,0.015
0.15,30.0,6,0.013472222222222222
0.15,30.0,7,0.025416666666666667
0.15,30.0,8,0.043333333333333335
0.15,30.0,9,0.008611111111111111
0.22,2.0,0,1.0
0.22,2.0,1,1.0
0.22,2.0,2,1.0
0.22,2.0,3,1.0
0.22,2.0,4,1.0
0.22,2.0,5,1.0
0.22,2.0,6,1.0
0.22,2.0,7,1.0
0.22,2.0,8,1.0
0.22,2.0,9,1.0
0.22,10.0,0,1.0
0.22,10.0,1,1.0
0.22,10.0,2,1.0
0.22,10.0,3,1.0
0.22,10.0,4,1.0
0.22,10.0,5,1.0
0.22,10.0,6,1.0
0.22,10.0,7,1.0
0.22,10.0,8,1.0
0.22,10.0,9,1.0
0.22,20.0,0,0.9948611111111111
0.22,20.0,1,1.0
0.22,20.0,2,1.0
0.22,20.0,3,1.0
0.22,20.0,4,0.9975
0.22,20.0,5,1.0
0.22,20.0,6,0.9976388888888889
0.22,20.0,7,1.0
0.22,20.0,8,1.0
0.22,20.0,9,0.9977777777777778
0.22,30.0,0,0.9608333333333333
0.22,30.0,1,0.9529166666666666
0.22,30.0,2,0.8679166666666667
0.22,30.0,3,0.8075
0.22,30.0,4,0.8930555555555556
0.22,30.0,5,0.9436111111111111
0.22,30.0,6,0.8223611111111111
0.22,30.0,7,0.8675
0.22,30.0,8,0.9770833333333333
0.22,30.0,9,0.7870833333333334
